TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9
3219130,1,5505678,9.305,C,2256,545.0,185.0,visa,226.0,credit,,,,,gmail.com,gmail.com,4.0,11.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,6.0,4.0,4.0,2.0,1.0,0.0,,,367.0,340.0,367.0,340.0,35.70833206176758,0.7083330154418945,0.0,,367.0,0.0,,0.0,,,,M2,,,,,
3287582,1,7422735,35.346,C,14276,177.0,185.0,mastercard,137.0,credit,,,,0.0,hotmail.com,hotmail.com,50.0,55.0,0.0,11.0,0.0,11.0,11.0,15.0,0.0,15.0,18.0,18.0,4.0,3.0,0.0,,,202.0,0.0,202.0,0.0,4.875,0.875,0.0,,202.0,0.0,0.0,0.0,,,,M2,,,,,
3219743,1,5513808,88.213,C,11201,103.0,185.0,visa,226.0,debit,,,,7.0,hotmail.com,hotmail.com,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.7916659712791443,0.7916659712791443,0.0,,0.0,0.0,0.0,0.0,,,,M0,,,,,
3206377,1,5156663,117.0,W,6019,583.0,150.0,visa,226.0,credit,498.0,87.0,,,yahoo.com,,5.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,26.0,4.0,39.0,36.0,6.0,341.0,6.0,,,,,341.0,,,,,341.0,,,,M0,T,T,,,
3155263,1,3611302,34.0,W,4693,417.0,150.0,visa,195.0,debit,308.0,87.0,,,yahoo.com,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,42.0,42.0,0.0,42.0,0.0,,,,,42.0,,,,,42.0,,,,M0,T,F,,,
3345232,1,8880591,150.0,H,7664,490.0,150.0,visa,226.0,debit,264.0,87.0,,,icloud.com,icloud.com,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.75,0.75,,,,,,,,,,,,,,,
3242320,1,6114843,17.749,C,15063,,150.0,visa,226.0,credit,,,,,anonymous.com,anonymous.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,M2,,,,,
3118784,1,2607966,38.711,C,9633,296.0,185.0,visa,138.0,debit,,,,,gmail.com,gmail.com,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,M2,,,,,
3564637,1,15367103,38.118,C,3154,408.0,185.0,mastercard,224.0,debit,,,,,hotmail.com,hotmail.com,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8333330154418945,0.8333330154418945,0.0,,0.0,0.0,0.0,0.0,,,,M2,,,,,
3249974,1,6321835,44.227,C,10369,176.0,185.0,mastercard,137.0,credit,,,,1.0,gmail.com,gmail.com,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,4.166666030883788,0.1666660010814666,0.0,,1.0,1.0,0.0,1.0,,,,M2,,,,,
