TransactionID,DeviceType,DeviceInfo,id_01,id_02,id_12
2987111,desktop,Windows,-5.0,252899.0,NotFound
2987380,mobile,,-20.0,324495.0,NotFound
2987750,desktop,,-20.0,120556.0,NotFound
2987780,mobile,KFFOWI Build/LVY48F,0.0,36004.0,Found
2987854,desktop,Windows,-5.0,599858.0,NotFound
2989519,desktop,Windows,-10.0,219208.0,Found
2989857,desktop,Windows,-5.0,9837.0,NotFound
2990131,desktop,Windows,-5.0,69878.0,NotFound
2990540,desktop,rv:11.0,-5.0,162439.0,NotFound
2990820,desktop,Windows,-5.0,112463.0,NotFound
2991373,desktop,Windows,-5.0,21697.0,Found
2992035,desktop,,-5.0,378634.0,NotFound
2992064,mobile,,-35.0,96576.0,NotFound
2992198,desktop,Windows,-5.0,56393.0,NotFound
2992234,desktop,,-10.0,242509.0,NotFound
2992361,mobile,,-25.0,116367.0,NotFound
2992626,mobile,LG-D680 Build/KOT49I,-5.0,428917.0,NotFound
2992877,mobile,,-20.0,571906.0,NotFound
2993107,mobile,Moto G (4) Build/NPJS25.93-14-10,0.0,134782.0,NotFound
2993937,mobile,iOS Device,-5.0,240212.0,NotFound
2994298,desktop,,-35.0,188445.0,NotFound
2994471,mobile,iOS Device,-5.0,110872.0,NotFound
2994629,desktop,Windows,-5.0,97098.0,NotFound
2994679,desktop,Windows,-5.0,161211.0,NotFound
2994709,mobile,iOS Device,0.0,6613.0,NotFound
2994714,mobile,SAMSUNG-SM-G930A Build/NRD90M,0.0,102816.0,NotFound
2995025,desktop,Windows,-5.0,437959.0,NotFound
2995763,desktop,,0.0,9978.0,NotFound
2996069,mobile,,0.0,30522.0,NotFound
2996095,desktop,Windows,-5.0,73150.0,NotFound
2996454,desktop,MacOS,-5.0,65318.0,NotFound
2996608,mobile,HTC,-5.0,129534.0,NotFound
2996628,desktop,Windows,-5.0,33588.0,NotFound
2996790,mobile,SM-G935F Build/NRD90M,-5.0,137854.0,NotFound
2996935,mobile,iOS Device,0.0,44056.0,NotFound
2996936,desktop,Windows,-5.0,4162.0,NotFound
2996941,desktop,Windows,-20.0,560962.0,NotFound
2997568,mobile,,-5.0,100217.0,NotFound
2997569,mobile,iOS Device,-5.0,46717.0,NotFound
2997635,mobile,SAMSUNG SM-G891A Build/NRD90M,-5.0,156566.0,Found
