TransactionID,isFraud,TransactionAmt
3457624,0,724.0
3552820,0,108.5
3271083,0,47.95
3226689,0,100.599
3268855,0,107.95
3400908,0,280.0
3400692,0,311.95
3461182,0,330.99
3357788,1,10.392
3015757,0,335.0
3363486,0,57.0
3062586,0,108.95
3149190,0,222.0
3447768,0,209.95
3261179,0,270.0
3075699,0,100.0
3190551,0,107.95
3194863,0,439.99
3548187,0,47.95
3525434,0,58.95
3309841,0,1090.19
3356634,0,209.95
3551068,0,47.0
3427306,0,57.95
3363469,0,49.0
3303938,0,58.95
3396876,0,10.876
2990942,0,226.0
3364204,0,32.99
3007054,0,42.0
3376075,0,117.0
3575960,0,107.95
3566997,0,26.129
3213045,0,300.0
3388617,0,57.95
3178430,0,525.0
3395805,0,150.0
3090754,0,98.0
3053583,0,30.782
3149188,0,30.95
3548827,0,54.0
3385357,0,57.95
3206031,0,49.0
3376269,0,445.0
3417271,0,160.95
3224636,0,255.0
3294970,0,2503.97
3414694,0,59.0
3565709,0,42.95
3341032,0,54.5
3190553,0,159.95
3192434,0,133.95
3362618,0,30.95
3365962,1,32.023
3131373,0,35.95
3418487,0,107.95
3183745,0,25.95
3129762,0,57.95
3101732,0,77.0
3406399,0,15.0
3505787,0,29.0
3194832,0,51.95
3279032,1,450.0
3443465,0,100.0
3181418,1,26.818
3538256,0,59.0
3094766,0,150.0
3430347,0,107.95
3299829,0,68.95
3277657,0,117.0
3555613,0,44.0
3236399,0,75.0
3234971,0,53.97
3187358,0,1117.87
3370361,0,31.95
3269454,0,92.95
3411764,0,57.95
3495094,1,51.0
3012866,0,87.0
3120438,0,59.0
3307619,0,15.0
3110046,0,34.5
3122500,0,82.95
3159617,0,300.0
3294905,0,424.95
3047366,0,29.415
3349548,0,42.95
3349682,0,47.95
3438078,0,209.95
3037312,0,146.0
3005880,0,374.95
3114374,0,59.0
3377527,0,40.179
3166862,0,59.0
3252050,0,59.0
3069713,0,774.0
3252385,0,160.95
3141647,0,644.95
3336847,0,67.95
3368039,0,54.95
3370779,0,75.0
3217668,0,34.0
3051307,0,4.315
3076061,0,250.0
3417285,0,1092.0
3458522,0,150.0
3522877,0,75.0
3515046,0,644.95
3527566,0,92.0
3050408,0,75.382
3467907,0,39.0
3259243,0,25.0
3083697,0,40.0
3086106,0,78.19
3177884,0,117.0
3098176,0,50.0
3514133,0,226.0
3285538,0,100.95
3573325,1,4.63
3480925,0,29.0
3056464,0,53.97
3101867,0,57.95
3458590,1,135.748
3335236,0,511.95
3409719,0,226.0
3404994,0,67.95
3210233,0,160.95
3542901,0,141.0
3446159,0,117.0
3129930,0,3.732
3438920,0,34.0
3040854,0,141.0
3576182,0,29.0
3207598,0,210.95
3447913,0,14.017
2994401,0,59.0
3344122,0,107.95
2993197,0,49.0
3044568,0,226.0
3273360,0,209.95
3023399,0,107.95
3539791,0,49.0
3032440,0,82.95
3170647,0,43.95
3187067,0,209.95
3095322,0,50.0
3445012,0,171.0
3000890,0,14.199
3476405,0,108.95
3448776,0,57.0
3282666,0,107.95
3288568,0,117.0
3502505,0,40.0
3058647,1,100.0
3520316,0,226.0
2997824,0,335.0
3136538,0,654.53
3103589,0,35.0
3472804,0,20.95
3266419,0,209.95
3492801,0,129.95
3016763,0,24.5
3151399,0,209.95
3371528,1,250.0
3271161,0,54.0
3405227,1,73.954
3232566,0,226.0
3018597,0,50.0
3387797,0,511.95
3565538,0,54.594
3057926,0,57.95
3562054,0,47.95
3061333,0,117.0
3377451,0,52.95
3519035,0,150.0
3313887,0,45.315
3512385,0,57.95
3032311,0,226.0
3062335,0,644.95
3177459,1,50.0
3455088,0,565.06
3075406,0,24.5
3081458,0,35.95
3196117,0,50.0
3503743,0,57.95
3066427,0,117.0
3413206,0,59.0
3144181,0,25.0
3106588,0,24.5
3538366,0,331.0
3111427,0,50.0
3390614,0,114.95
3237749,0,250.0
3340876,0,44.0
3459424,0,114.5
3184617,0,49.0
3523887,0,20.0
3044087,0,117.0
3532554,0,54.5
3575264,0,171.0
3205104,0,49.0
3206374,0,25.0
3529910,0,100.0
3405704,0,52.95
3553820,0,171.0
3168464,0,13.934
3163512,0,57.95
3037696,0,77.0
3539300,0,59.0
3019359,0,57.95
3470670,0,117.0
3154689,0,46.5
3336865,0,59.0
3030921,0,34.0
3433450,0,1411.56
3164656,0,390.0
3162882,0,49.0
3456734,0,25.95
3254195,0,33.534
3519700,0,305.0
3379189,0,117.0
3480156,0,100.0
3369277,0,50.0
3185418,0,171.0
3176544,0,97.0
3274178,0,29.0
3567673,0,206.95
3575265,0,335.0
3082563,1,107.95
3528983,0,57.95
3142858,0,107.95
3330916,0,107.99
3394003,0,15.95
3278287,0,898.95
3425291,0,193.0
3386599,0,260.0
3348081,0,82.95
3003322,0,49.0
3468003,0,92.0
3359705,0,226.0
3163545,0,159.95
3412662,0,107.95
3500599,0,211.61
3386321,0,91.597
3129704,0,227.56
3147189,0,34.0
3114080,1,200.0
3224428,0,117.0
3379204,1,100.0
3182639,0,77.95
3199197,0,34.0
3404127,0,54.5
3079873,0,100.0
3320868,0,49.0
3012357,0,48.95
3034453,0,250.0
3350595,0,226.0
3389694,0,57.95
3022274,0,57.95
3541820,0,113.0
3243570,0,17.522
3401369,0,70.0
3084593,0,150.0
3556859,0,56.0
3041689,0,160.5
3289888,0,59.0
3228793,0,159.95
3306665,0,774.0
3134060,0,815.95
3051897,0,37.778
3044048,0,6.705
3314343,0,21.0
3493008,0,226.0
3365972,0,226.0
3541242,0,35.95
3159358,0,47.34
3175720,0,335.0
3216946,0,29.0
3456011,0,107.95
3488059,0,58.95
3293135,0,52.95
3259291,0,39.0
3467770,0,30.95
3369692,0,1629.95
3114047,0,31.016
3233634,0,107.95
3296022,0,424.95
3055549,0,59.0
3133717,0,19.356
3312133,0,57.95
3283388,1,22.174
3261181,0,34.0
3105625,0,84.652
3177180,0,59.0
3093475,0,250.0
3311178,0,141.0
3296593,0,160.5
3167377,0,39.0
3404744,0,52.807
3334098,0,59.0
3284271,0,58.95
3363802,0,117.0
3226145,0,53.653
3463783,0,47.95
3569273,0,49.0
3179751,0,141.0
3155239,0,112.99
3042285,0,39.0
3058964,0,156.0
3059540,0,288.24
3411598,0,159.95
3441389,0,7.623
3269565,0,150.0
3540684,0,25.0
3469543,0,226.0
3362242,1,20.543
3576767,0,390.0
3219947,0,57.95
3073078,0,75.0
3291865,0,49.0
3319741,0,59.0
3372429,0,209.95
3042703,0,25.0
3241967,0,36.675
3366844,0,335.0
3378229,0,14.882
3520966,0,58.95
3560690,0,23.95
3545045,0,184.95
3317592,0,72.0
3004000,0,200.0
3294216,0,171.0
3301279,0,49.0
3444259,0,10.083
3126502,0,55.817
3274054,0,30.95
3209782,0,259.95
3309287,0,160.5
3521066,0,59.0
3144379,0,44.95
3161773,0,107.95
3443514,0,1104.0
3161351,1,64.713
3208642,0,77.95
3414825,0,92.0
3296447,0,67.95
3124845,0,25.0
3415570,0,85.703
3301674,0,29.0
2988113,0,405.0
3305707,0,59.0
3159427,0,25.95
3319141,0,87.0
3399620,0,311.95
3138417,0,59.0
3249039,0,54.5
3228130,0,100.0
3505472,0,208.5
3498191,0,35.95
3156665,0,31.0
3347436,0,26.5
3062154,0,25.0
3310605,0,53.97
3018307,0,29.0
3520981,0,335.0
3068744,0,400.0
3069463,0,125.0
3570541,1,44.0
3332530,0,150.0
3104242,0,59.0
3132741,0,34.0
3566421,0,160.5
3190766,0,97.95
3411489,1,77.0
3434591,0,57.95
3095925,0,100.0
3422582,0,107.95
3160908,0,47.95
3453538,0,65.9
3245666,0,46.161
3211968,0,80.0
3269893,0,335.0
3386847,0,57.95
3347898,1,335.0
3040892,0,50.0
3344713,0,107.95
3255170,0,57.95
3257865,0,29.0
3286442,0,166.99
3490047,0,57.95
3207939,0,22.718
3281705,0,253.8
3420319,0,39.0
3449816,0,573.95
3513935,0,34.0
3026084,0,37.604
3151785,0,82.95
3227902,0,42.95
3346747,0,150.95
3473899,0,47.95
3292889,0,186.0
3367167,0,67.95
3412491,0,57.95
3121016,0,171.0
3167961,0,8.803
3378431,0,319.95
3360191,0,29.0
3310290,0,117.0
3470903,0,107.95
3135410,0,58.95
3039834,0,117.0
2988936,0,30.95
3563840,0,171.0
3153989,0,53.97
3519163,0,2.661
3076170,0,195.12
3035492,0,57.95
3353286,0,97.397
3550733,0,117.0
3273402,0,117.0
3489946,0,59.0
3264732,0,39.0
3568906,0,57.95
3396043,0,311.95
3019055,0,200.0
2991598,0,63.5
3439534,0,107.95
3382609,0,117.0
3525351,0,39.0
3125200,0,117.0
3051675,0,30.95
3368182,0,117.0
3155445,0,49.0
3451929,0,161.0
3024201,0,101.209
3412632,0,100.0
3445367,0,44.5
3218023,0,113.0
3356702,0,59.0
3511759,0,57.95
3333411,0,361.95
3517316,0,67.95
3311530,0,107.95
3008748,0,25.0
3209487,0,59.0
3217886,0,34.5
3435566,0,3.583
3078988,0,42.559
3377848,0,15.528
3442714,0,468.95
3084467,0,50.0
3251856,0,97.95
3289730,0,365.0
3348758,1,97.0
3550108,0,100.0
3406370,0,108.5
3136745,0,30.199
3367765,0,107.95
3160262,0,35.95
3295128,0,445.0
3159973,0,57.95
3100147,0,250.0
3355632,0,100.0
3493878,0,49.0
3072222,0,117.0
3360887,0,49.0
3335842,0,30.95
3350932,0,297.97
3283163,0,445.0
3007415,0,100.0
3316401,0,49.0
3336732,0,159.95
3441603,0,107.95
3520177,0,57.95
3294053,0,57.95
3049600,0,50.0
3058031,0,226.0
3211561,0,226.0
3220933,0,77.0
3469328,0,34.0
3404048,0,200.0
3060895,0,200.0
3425113,0,59.0
2987111,0,18.186
3134793,0,59.0
3204071,0,297.0
3531224,0,117.0
3028260,0,49.0
3489706,0,103.5
3288455,0,894.95
3518588,0,40.0
3235923,0,47.95
3078126,0,117.0
3379459,0,8.217
3067661,0,48.95
3080836,0,275.0
3001201,0,150.0
3313879,0,59.0
3051456,0,100.0
3258670,0,39.0
3416674,0,29.0
3555697,0,35.95
3352709,0,107.95
3110342,0,57.95
3334217,0,169.95
3078319,0,15.0
2995644,0,49.0
3572409,0,311.95
3527138,0,335.0
3109119,0,800.0
3224776,0,35.95
3196149,0,5.947
3535607,0,312.95
3250870,0,108.95
3183102,0,30.199
3202284,0,113.0
3006672,0,108.95
3498920,0,226.0
3294886,0,53.95
3412759,0,30.95
2992985,0,67.95
3143292,0,54.5
2991752,0,34.0
3314338,0,36.796
3272183,0,57.95
3140467,0,36.95
3418620,0,25.95
3568672,0,39.0
3495218,0,335.0
3002349,0,84.0
3054813,0,39.0
3271849,0,22.97
3405294,0,34.0
3397183,0,31.31
3315488,0,511.95
3434793,0,44.5
3007026,1,54.136
3287901,0,26.403
3175932,0,49.0
3176331,0,36.95
3378748,0,57.95
3029758,0,200.0
3259239,0,40.481
3457061,0,59.0
3559688,0,150.0
3519110,0,35.95
3136478,0,445.0
3420710,0,21.95
3424566,0,39.05
3347722,0,117.0
3556524,0,50.0
3560478,0,39.0
3563353,0,104.393
3335502,0,67.95
3446465,0,59.0
3073222,0,15.0
3083869,0,50.0
3509388,0,335.0
3028469,0,209.95
3246954,0,300.0
3166870,0,213.95
3222776,0,117.0
3431860,0,59.0
