TransactionID,isFraud,TransactionDT,TransactionAmt,card1,card2,addr1,dist1,C1,C2,C3,C4,C5,C6,V1,V2,V3,V4,V5,ProductCD,card4,card6
2987000,0,6248836,24.12,4784,121.0,238.0,1265.0,1.0,0.0,1.0,1.0,2.0,7.0,0.6701557906797992,1.4715896207542125,,1.1675353765076653,,W,mastercard,credit
2987001,0,7852508,33.68,7561,367.0,333.0,391.0,9.0,2.0,0.0,3.0,0.0,0.0,0.3404079305296448,,,,,H,mastercard,credit
2987002,0,12705296,83.69,10142,,247.0,1260.0,1.0,0.0,1.0,6.0,0.0,2.0,,0.21191426385305068,,1.5697644486100293,1.1532178667333253,W,visa,credit
2987003,0,6629219,53.57,5156,233.0,363.0,2260.0,2.0,4.0,1.0,7.0,0.0,1.0,,0.8703127432343964,,,0.05726009351923511,W,mastercard,debit
2987004,0,6543222,37.27,14798,304.0,,616.0,3.0,1.0,1.0,0.0,2.0,10.0,1.2665376958253414,0.4485152044224676,,,0.2589282349675055,W,american express,debit
2987005,0,10914895,26.51,3885,122.0,274.0,,5.0,2.0,1.0,,2.0,5.0,,,,,1.0782334173230335,C,discover,credit
2987006,0,4123437,24.27,12330,298.0,339.0,,4.0,5.0,1.0,0.0,2.0,2.0,1.6146864946625334,,,1.6996752925217318,0.8999754398716928,C,visa,debit
2987007,0,9946082,49.14,3348,351.0,418.0,3208.0,7.0,0.0,1.0,0.0,0.0,8.0,,0.4271163376642837,0.9651217342319351,,0.8168357411218845,W,discover,credit
2987008,0,6134434,276.07,10058,185.0,137.0,,8.0,0.0,1.0,7.0,3.0,6.0,,,,,,H,visa,debit
2987009,0,7587990,85.85,2477,,372.0,2457.0,3.0,4.0,0.0,7.0,,14.0,1.4920610916678163,1.6269387434304685,,,1.8874432395311458,R,visa,debit
2987010,0,12262131,18.8,8074,490.0,380.0,1844.0,5.0,3.0,1.0,6.0,1.0,6.0,,,1.3231265916253747,,1.9491064991925173,H,visa,credit
2987011,0,829867,96.14,8422,344.0,363.0,3098.0,,3.0,1.0,3.0,2.0,6.0,0.7492208294711336,,,,0.47357620300669256,W,american express,credit
2987012,0,10333083,29.75,1316,213.0,190.0,2203.0,9.0,5.0,,0.0,,14.0,,1.845245189361781,1.007924576948531,,0.26761063050412126,W,discover,debit
2987013,0,4246162,54.39,3468,323.0,268.0,,2.0,3.0,1.0,3.0,1.0,14.0,,0.6718809592636215,,,0.47541757061902334,W,discover,debit
2987014,0,231887,34.09,7074,384.0,387.0,,0.0,3.0,,7.0,3.0,9.0,0.9516811450701739,1.807535010525356,,,,W,american express,debit
2987015,0,5032258,275.39,10234,316.0,416.0,336.0,4.0,2.0,,2.0,2.0,11.0,1.4125577584558282,1.248989622736818,,,1.927933626634208,W,discover,debit
2987016,0,12333342,22.04,4906,272.0,231.0,,9.0,5.0,0.0,0.0,0.0,14.0,,,1.474257004529776,1.0983582600241164,1.5227038544482097,W,american express,credit
2987017,0,11604626,70.17,9727,261.0,350.0,2525.0,,3.0,0.0,1.0,1.0,1.0,1.1398518658899057,,,1.3933033154881078,0.800932134810745,W,discover,credit
2987018,0,4125808,31.56,4557,345.0,439.0,2902.0,1.0,1.0,0.0,5.0,2.0,9.0,8.775314148201652e-05,0.11010877582395029,1.9780543794254528,1.0838214950327565,,W,visa,credit
2987019,0,6317915,98.6,2449,407.0,436.0,,3.0,2.0,1.0,7.0,1.0,10.0,,,0.3149128738267717,,0.3662743072136223,C,mastercard,credit
2987020,0,13766407,69.05,5994,105.0,369.0,,5.0,4.0,0.0,3.0,1.0,7.0,,1.9861386530347942,,,1.1861538966030598,H,visa,credit
2987021,0,6035143,148.95,4172,258.0,,,,2.0,0.0,7.0,0.0,1.0,,,,,1.2927828676118187,S,american express,credit
2987022,0,4089337,96.98,13966,,132.0,,2.0,,0.0,7.0,3.0,2.0,0.27109821154083136,1.9907574179795169,0.26634231617656523,,1.1104888750252169,W,american express,credit
