TransactionID,isFraud,TransactionAmt,ProductCD,card4,card6,addr1,addr2,transaction_date,timestamp,currency,country_code,merchant_category,settlement_status,transaction_type
3333560,0,41.0,W,mastercard,debit,126.0,87.0,2023-10-26,2023-10-26 18:04:13,USD,GB,crypto,settled,purchase
3259516,0,76.95,W,mastercard,credit,441.0,87.0,2023-11-20,2023-11-20 03:48:44,USD,DE,crypto,settled,purchase
3437864,0,68.5,W,visa,debit,251.0,87.0,2023-10-08,2023-10-08 09:30:18,USD,GB,travel,settled,purchase
3350478,0,310.95,W,visa,debit,184.0,87.0,2023-11-20,2023-11-20 07:51:15,NGN,US,travel,declined,purchase
3355011,0,250.0,W,mastercard,debit,181.0,87.0,2023-10-10,2023-10-10 12:18:49,USD,US,retail,settled,purchase
3468888,0,87.95,W,mastercard,debit,225.0,87.0,2023-11-22,2023-11-22 05:38:34,USD,CA,gambling,settled,purchase
3059600,0,24.5,W,visa,debit,327.0,87.0,2023-12-16,2023-12-16 01:09:28,USD,JP,travel,pending,purchase
3104706,0,100.0,H,mastercard,debit,327.0,87.0,2023-12-15,2023-12-15 14:10:57,EUR,GB,gambling,settled,purchase
3388328,1,40.723,C,visa,debit,,,2023-12-13,2023-12-13 07:22:18,USD,US,crypto,settled,purchase
3571852,0,25.95,W,visa,debit,191.0,87.0,2023-12-23,2023-12-23 03:49:12,USD,US,digital_goods,pending,purchase
3452146,0,107.95,W,visa,debit,315.0,87.0,2023-10-30,2023-10-30 15:27:07,NGN,FR,atm,settled,purchase
3219910,0,39.0,W,mastercard,debit,325.0,87.0,2023-11-22,2023-11-22 04:26:48,USD,DE,gambling,settled,purchase
3080707,0,200.0,R,visa,debit,126.0,87.0,2023-11-13,2023-11-13 18:11:57,USD,US,digital_goods,settled,purchase
3040994,0,226.0,W,visa,debit,420.0,87.0,2023-11-22,2023-11-22 07:46:49,GBP,ET,gambling,settled,purchase
3103843,0,40.0,H,visa,debit,325.0,87.0,2023-10-25,2023-10-25 22:40:20,USD,ET,crypto,settled,purchase
3308168,0,67.95,W,visa,debit,191.0,87.0,2023-11-09,2023-11-09 11:49:55,EUR,ET,retail,settled,purchase
3200964,0,26.0,W,visa,debit,325.0,87.0,2023-10-27,2023-10-27 04:15:58,USD,US,digital_goods,settled,purchase
